_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,review_scores,host_id,host_name,host_location,host_response_time,host_neighbourhood,host_response_rate,host_identity_verified,host_total_listings_count,suburb,government_area,market,country,country_code,location_type,longitude,latitude,availability_30,availability_60,availability_90,availability_365,amenities
7715270,"Leilani Loft, walk to Anini Beach",Condominium,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2,0,1,117,1,129,135,25,2,93,4285884,Mana,"California, United States",within an hour,Not Specified,100,True,4,Kauaʻi,North Shore Kauai,Kauai,United States,US,Point,-159.46996,22.21592,4,6,15,252,"['24-hour check-in', 'Carbon monoxide detector', 'Dryer', 'Essentials', 'Fire extinguisher', 'First aid kit', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Hot water', 'Internet', 'Iron', 'Keypad', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Pool', 'Self check-in', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']"
7773322,Single room Flushing G/ Lorimer JMZ,Apartment,Private room,Real Bed,1,6,moderate,2,1,1,5,1,60,35,0,1,100,40890035,Sean,"New York, New York, United States",Not Specified,Williamsburg,Not Specified,True,1,Williamsburg,Williamsburg,New York,United States,US,Point,-73.9528,40.70018,0,0,0,0,"['Air conditioning', 'Buzzer/wireless intercom', 'Elevator', 'Essentials', 'Heating', 'Kitchen', 'Washer', 'Wheelchair accessible', 'Wifi']"
7723494,Beautiful spacious room!,Apartment,Private room,Real Bed,3,1125,moderate,2,1,1,11,1,99,80,20,1,100,1984725,Pilar,"New York, New York, United States",within a day,Lower East Side,50,False,1,Lower East Side,Lower East Side,New York,United States,US,Point,-73.98385,40.72143,27,38,38,38,"['Air conditioning', 'Buzzer/wireless intercom', 'Elevator', 'Heating', 'Internet', 'Kitchen', 'Smoke detector', 'Wifi']"
7743391,TsimShaTsui Wellyet Guest House Long Stay @ Room 8,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1,1,42,1,283,150,100,2,94,40699783,Natalie,Hong Kong,within an hour,Tsim Sha Tsui,100,True,14,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,114.17164,22.29676,4,25,55,330,"['24-hour check-in', 'Air conditioning', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Lock on bedroom door', 'Long term stays allowed', 'Luggage dropoff allowed', 'Paid parking off premises', 'Private entrance', 'Shampoo', 'Smoke detector', 'TV', 'Wifi', 'translation missing: en.hosting_amenity_50']"
7725154,EIXAMPLE DELIGHT - Cozy & Bright Apartment,Apartment,Entire home/apt,Real Bed,3,1125,moderate,4,2,3,132,1,115,60,0,1,97,23966581,Just,"Sant Pere de Ribes, Catalunya, Spain",within an hour,Dreta de l'Eixample,100,True,1,Dreta de l'Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,2.16236,41.39078,6,9,14,194,"['Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Crib', 'Elevator', 'Essentials', 'Hair dryer', 'Hangers', 'Heating', 'High chair', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Paid parking off premises', 'Paid parking on premises', 'Shampoo', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']"
7928490,Renatus Aparts,Aparthotel,Private room,Real Bed,1,1125,flexible,4,1,2,1,1,148,Not Specified,0,1,0,41807335,Mehmet,"Istanbul, İstanbul, Turkey",within a day,Not Specified,50,False,2,Not Specified,Esenyurt,Istanbul,Turkey,TR,Point,28.62613,41.02655,30,60,90,365,"['Air conditioning', 'Breakfast', 'Cable TV', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Long term stays allowed', 'Luggage dropoff allowed', 'Paid parking off premises', 'Paid parking on premises', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi']"
7926712,North Avalon Beach Apartment,Apartment,Entire home/apt,Real Bed,1,408,strict_14_with_grace_period,4,2,2,110,2,360,120,0,1,100,41798140,Angela,"Avalon Beach, New South Wales, Australia",within an hour,Avalon,100,False,1,Avalon,Pittwater,Sydney,Australia,AU,Point,151.33898,-33.63278,11,20,50,296,"['Air conditioning', 'Bed linens', 'Cable TV', 'Children’s books and toys', 'Dryer', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'High chair', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Other', 'Pack ’n Play/travel crib', 'Private entrance', 'Safety card', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi']"
7811718,Room in very central apt in Kadıkoy,Loft,Private room,Real Bed,3,1125,flexible,3,1,2,0,1,148,Not Specified,30,1,0,205284,Yetkin,"Istanbul, Istanbul, Turkey",Not Specified,Not Specified,Not Specified,False,1,Kadıköy,Kadikoy,Istanbul,Turkey,TR,Point,29.03035,40.98978,30,60,90,180,"['Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Cat(s)', 'Elevator', 'Essentials', 'Fire extinguisher', 'First aid kit', 'Heating', 'Internet', 'Kitchen', 'Pets live on this property', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wifi']"
7777283,"旺角旅馆,三人至4人房,2 分钟到地铁",Serviced apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,4,1,3,61,1,353,100,100,3,89,30770000,Jie,HK,within an hour,Mong Kok,100,False,16,Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,114.16785,22.32117,16,32,62,337,"['Air conditioning', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Hot water', 'Internet', 'Keypad', 'Laptop friendly workspace', 'Long term stays allowed', 'Self check-in', 'Shampoo', 'Smoke detector', 'TV', 'Wheelchair accessible', 'Wifi']"
7818456,Grande chambre double -Plateau,Apartment,Private room,Real Bed,1,1125,flexible,2,1,1,0,1,50,Not Specified,0,1,0,12335551,Sylvie,"Montreal, Quebec, Canada",Not Specified,Le Plateau,Not Specified,False,1,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,-73.57775,45.53161,0,0,0,0,"['Essentials', 'Heating', 'Kitchen', 'Shampoo', 'Smoke detector', 'Washer', 'Wifi']"
